CODE_COMMUNE_INSEE,NOM_DE_LA_COMMUNE,CODE_POSTAL,LIBELLE_D_ACHEMINEMENT,LIGNE_5,_GEOPOINT
49002,ALLONNES,49650,ALLONNES,,"47.3069328,0.00810265"
49003,TUFFALUN,49700,TUFFALUN,AMBILLOU CHATEAU,"47.27049705,-0.32219575"
49003,TUFFALUN,49700,TUFFALUN,LOUERRE,"47.27049705,-0.32219575"
49003,TUFFALUN,49700,TUFFALUN,NOYANT LA PLAINE,"47.27049705,-0.32219575"
49007,ANGERS,49000,ANGERS,,"47.48189605,-0.5629347499999999"
49007,ANGERS,49100,ANGERS,,"47.48189605,-0.5629347499999999"
49008,ANGRIE,49440,ANGRIE,,"47.5819468,-0.96774985"
49009,ANTOIGNE,49260,ANTOIGNE,,"47.07927545,-0.1382129"
49010,ARMAILLE,49420,ARMAILLE,,"47.713490050000004,-1.14250375"
49011,ARTANNES SUR THOUET,49260,ARTANNES SUR THOUET,,"47.204157,-0.09776009999999999"
