code commune insee,nom de_la_commune,first_postal,libelle_d_acheminement,ligne_5,_geopoint
49002,ALLONNES,49650,ALLONNES,Inconnu,"47.3069328,0.00810265"
49003,TUFFALUN,49700,TUFFALUN,AMBILLOU CHATEAU,"47.27049705,-0.32219575"
49003,TUFFALUN,49700,TUFFALUN,LOUERRE,"47.27049705,-0.32219575"
49003,TUFFALUN,49700,TUFFALUN,NOYANT LA PLAINE,"47.27049705,-0.32219575"
49007,ANGERS,49000,ANGERS,Inconnu,"47.48189605,-0.5629347499999999"
49007,ANGERS,49100,ANGERS,Inconnu,"47.48189605,-0.5629347499999999"
49008,ANGRIE,49440,ANGRIE,Inconnu,"47.5819468,-0.96774985"
49009,ANTOIGNE,49260,ANTOIGNE,Inconnu,"47.07927545,-0.1382129"
49010,ARMAILLE,49420,ARMAILLE,Inconnu,"47.713490050000004,-1.14250375"
49011,ARTANNES SUR THOUET,49260,ARTANNES SUR THOUET,Inconnu,"47.204157,-0.09776009999999999"
